reason_code,priority,ticker,exchange,mic_code,local_name,twelvedata_name,twelvedata_type,name_score,candidate_action,validation_status,listing_key,twelvedata_exchange,review_batch
low_name_similarity|severe_name_mismatch,P3,0373,Bursa,XKLS,VERDANT,0373,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,Bursa::0373,MYX,later_global_review
low_name_similarity|severe_name_mismatch,P3,0379,Bursa,XKLS,PMW International Bhd,0379,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,Bursa::0379,MYX,later_global_review
low_name_similarity|severe_name_mismatch,P3,0380,Bursa,XKLS,Aquawalk Group Berhad,0380,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,Bursa::0380,MYX,later_global_review
low_name_similarity|severe_name_mismatch,P3,0381,Bursa,XKLS,Polymer Link Holdings Berhad,0381,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,Bursa::0381,MYX,later_global_review
low_name_similarity|severe_name_mismatch,P3,0382,Bursa,XKLS,Foodie Media Berhad,0382,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,Bursa::0382,MYX,later_global_review
low_name_similarity|severe_name_mismatch,P3,0383,Bursa,XKLS,PSP Energy Berhad,0383,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,Bursa::0383,MYX,later_global_review
low_name_similarity|severe_name_mismatch,P3,0385,Bursa,XKLS,BMS,0385,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,Bursa::0385,MYX,later_global_review
low_name_similarity|severe_name_mismatch,P3,5341,Bursa,XKLS,LAC MED BERHAD,5341,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,Bursa::5341,MYX,later_global_review
low_name_similarity|severe_name_mismatch,P3,5343,Bursa,XKLS,Wasco Greenergy Berhad,5343,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,Bursa::5343,MYX,later_global_review
low_name_similarity|severe_name_mismatch,P3,036170,KOSDAQ,XKRX,"HMNEX Co., Ltd.","Cloud Air Co., Ltd.",Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,KOSDAQ::036170,KRX,later_global_review
