ticker,exchange,asset_type,name,stockanalysis_symbol,stockanalysis_name,stockanalysis_isin,stockanalysis_sector,stockanalysis_industry,stockanalysis_category,isin_update,sector_update,category_update,decision,source_url
0O86,LSE,Stock,Telefon AB L.M. Ericsson Series A,0O86,Telefonaktiebolaget LM Ericsson (publ),,,Radio and Television Broadcasting and Communications Equipment,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0O86/
0O8F,LSE,Stock,Koninklijke KPN NV,0O8F,Koninklijke KPN N.V.,NL0000009082,,"Telephone Communications, Except Radiotelephone",,,,,no_update,https://stockanalysis.com/quote/lon/0O8F/
0OFP,LSE,Stock,NCC AB ser. B,0OFP,NCC AB (publ),SE0000117970,,Building Construction General Contractors and Operative Builders,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0OFP/
0OI0,LSE,Stock,Archos S.A,0OI0,Archos S.A.,FR001400KO61,,"Computer Peripheral Equipment, not elsewhere classified",,,,,no_update,https://stockanalysis.com/quote/lon/0OI0/
0OIR,LSE,Stock,ALK-Abello B,0OIR,ALK-Abelló A/S,DK0061802139,,"Biological Products, Except Diagnostic Substances",,,,,no_update,https://stockanalysis.com/quote/lon/0OIR/
0P0001J2VW,LSE,Stock,Amundi Index Solutions - Amundi MSCI Europe SRI PAB ,,,,,,,,,,no_symbol_match,
0P38,LSE,Stock,Norma Group AG NA O.N.,0P38,NORMA Group SE,DE000A1H8BV3,,Refrigeration And Service Industry Machinery,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0P38/
0P3K,LSE,Stock,Dedicare AB,0P3K,Dedicare AB (publ),SE0003909282,,Help Supply Services,,,,,no_update,https://stockanalysis.com/quote/lon/0P3K/
0P6S,LSE,Stock,Bayer AG NA,0P6S,Bayer Aktiengesellschaft,DE000BAY0017,,Chemicals and Allied Products,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0P6S/
0Q3Y,LSE,Stock,Kruk S.A.,,,,,,,,,,no_symbol_match,
0Q6Q,LSE,Stock,Mersen,0Q6Q,Mersen S.A.,FR0000039620,,Electrical Industrial Apparatus,,,,,no_update,https://stockanalysis.com/quote/lon/0Q6Q/
0QAJ,LSE,Stock,DBV Technologies,0QAJ,DBV Technologies S.A.,,,"Biological Products, Except Diagnostic Substances",,,,,no_update,https://stockanalysis.com/quote/lon/0QAJ/
0QDX,LSE,Stock,Sagax AB Series B,0QDX,AB Sagax (publ),,,Operators of Nonresidential Buildings,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0QDX/
0QFP,LSE,Stock,Gedeon Richter PLC,,,,,,,,,,no_symbol_match,
0QIU,LSE,Stock,Novo Nordisk A/S Class B,0QIU,Novo Nordisk A/S,DK0062498333,,Pharmaceutical Preparations,,,,,no_update,https://stockanalysis.com/quote/lon/0QIU/
0QIW,LSE,Stock,Valmet Corp.,0QIW,Valmet Oyj,,,"Special Industry Machinery, Except Metalworking",,,,,name_mismatch,https://stockanalysis.com/quote/lon/0QIW/
0QNJ,LSE,Stock,Daetwyler Holding AG,0QNJ,Dätwyler Holding AG,CH0030486770,Industrials,Industrial - Specialties,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0QNJ/
0QP1,LSE,Stock,Chocoladefabriken Lindt & Spruengli AG Part. Cert.,,,,,,,,,,no_symbol_match,
0QP4,LSE,Stock,Georg Fischer AG,0QP4,Georg Fischer AG,CH1169151003,,Metal Forgings And Stampings,,,,,no_update,https://stockanalysis.com/quote/lon/0QP4/
0QSH,LSE,Stock,FNAC DARTY,0QSH,Fnac Darty SA,,,Computer and Computer Software Stores,,,,,no_update,https://stockanalysis.com/quote/lon/0QSH/
0QT5,LSE,Stock,Gaztransport et Technigaz,0QT5,Gaztransport & Technigaz SA,,,"Oil and Gas Field Services, not elsewhere classified",,,,,no_update,https://stockanalysis.com/quote/lon/0QT5/
0QTY,LSE,Stock,OEM-International AB Series B,,,,,,,,,,no_symbol_match,
0QUU,LSE,Stock,Afry AB,0QUU,Afry AB,SE0005999836,,Engineering Services,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0QUU/
0QVK,LSE,Stock,COFACE,0QVK,COFACE SA,,,Surety Insurance,,,,,no_update,https://stockanalysis.com/quote/lon/0QVK/
0QYI,LSE,Stock,Netflix Inc.,0QYI,"Netflix, Inc.",,,Video Tape Rental,,,,,no_update,https://stockanalysis.com/quote/lon/0QYI/
0QYQ,LSE,Stock,Gilead Sciences Inc.,0QYQ,"Gilead Sciences, Inc.",,,"Biological Products, Except Diagnostic Substances",,,,,no_update,https://stockanalysis.com/quote/lon/0QYQ/
0QZD,LSE,Stock,Advanced Micro Devices Inc.,0QZD,"Advanced Micro Devices, Inc.",,,Semiconductors and Related Devices,,,,,no_update,https://stockanalysis.com/quote/lon/0QZD/
0QZI,LSE,Stock,Meta Platforms,0QZI,"Meta Platforms, Inc.",,,"Computer Programming, Data Processing, And Other Computer Related Services",,,,,no_update,https://stockanalysis.com/quote/lon/0QZI/
0QZK,LSE,Stock,Coca-Cola Co.,0QZK,The Coca-Cola Company,,,Bottled and Canned Soft Drinks and Carbonated Waters,,,,,no_update,https://stockanalysis.com/quote/lon/0QZK/
0R0E,LSE,Stock,General Motors Co.,0R0E,General Motors Company,,,Motor Vehicles and Passenger Car Bodies,,,,,no_update,https://stockanalysis.com/quote/lon/0R0E/
0R1I,LSE,Stock,NVIDIA Corp.,0R1I,NVIDIA Corporation,,,Semiconductors and Related Devices,,,,,no_update,https://stockanalysis.com/quote/lon/0R1I/
0R1O,LSE,Stock,Amazon.com Inc.,0R1O,"Amazon.com, Inc.",,,Catalog and Mail-Order Houses,,,,,no_update,https://stockanalysis.com/quote/lon/0R1O/
0R24,LSE,Stock,Intel Corp.,0R24,Intel Corporation,,,Semiconductors and Related Devices,,,,,no_update,https://stockanalysis.com/quote/lon/0R24/
0R25,LSE,Stock,Prospect Capital Corp.,,,,,,,,,,no_symbol_match,
0R2Q,LSE,Stock,Chevron Corp.,0R2Q,Chevron Corporation,,,Petroleum Refining,,,,,no_update,https://stockanalysis.com/quote/lon/0R2Q/
0R2T,LSE,Stock,Micron Technology Inc,0R2T,"Micron Technology, Inc.",,,Semiconductors and Related Devices,,,,,no_update,https://stockanalysis.com/quote/lon/0R2T/
0R31,LSE,Stock,Altria Group Inc.,0R31,"Altria Group, Inc.",,,Cigarettes,,,,,no_update,https://stockanalysis.com/quote/lon/0R31/
0R37,LSE,Stock,Berkshire Hathaway Inc,0R37,Berkshire Hathaway Inc.,,,Conglomerates,,,,,no_update,https://stockanalysis.com/quote/lon/0R37/
0R3W,LSE,Stock,Thule Group AB,0R3W,Thule Group AB (publ),,,"Sporting and Athletic Goods, not elsewhere classified",,,,,no_update,https://stockanalysis.com/quote/lon/0R3W/
0R44,LSE,Stock,C-RAD AB Series B,0R44,C-Rad AB (publ),SE0002016352,,Electromedical and Electrotherapeutic Apparatus,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0R44/
0R4Y,LSE,Stock,Aena SME S.A.,0R4Y,"Aena S.M.E., S.A.",,,"Airports, Flying Fields, and Airport Terminal Services",,,,,name_mismatch,https://stockanalysis.com/quote/lon/0R4Y/
0R87,LSE,Stock,ASSA ABLOY AB ser. B,0R87,ASSA ABLOY AB (publ),SE0007100581,,"Metal Doors, Sash, Frames, Molding, and Trim Manufacturing",,,,,no_update,https://stockanalysis.com/quote/lon/0R87/
0R8U,LSE,Stock,Pandox AB Series B,0R8U,Pandox AB (publ),,,Operators of Nonresidential Buildings,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0R8U/
0R8W,LSE,Stock,Alimak Group AB,0R8W,Alimak Group AB (publ),,,"Construction, Mining, And Materials Handling",,,,,no_update,https://stockanalysis.com/quote/lon/0R8W/
0R99,LSE,Stock,Talgo S.A.,0R99,"Talgo, S.A.",,,Railroad Equipment,,,,,no_update,https://stockanalysis.com/quote/lon/0R99/
0R9C,LSE,Stock,Cellnex Telecom S.A.,0R9C,"Cellnex Telecom, S.A.",,,"Communications Services, Not Elsewhere Classified",,,,,no_update,https://stockanalysis.com/quote/lon/0R9C/
0R9I,LSE,Stock,Schibsted ASA B,0R9I,Vend Marketplaces ASA,NO0010736879,,Advertising,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0R9I/
0R9X,LSE,Stock,Granges AB,0R9X,Gränges AB (publ),,,Nonferrous Foundries (castings),,,,,no_update,https://stockanalysis.com/quote/lon/0R9X/
0RCG,LSE,Stock,Hapag-Lloyd AG,0RCG,Hapag-Lloyd Aktiengesellschaft,,,Deep Sea Foreign Transportation of Freight,,,,,no_update,https://stockanalysis.com/quote/lon/0RCG/
0RD0,LSE,Stock,SJF Bank A/S,0RD0,SJF Bank A/S,DK0060670776,,Commercial Banks,,,,,no_update,https://stockanalysis.com/quote/lon/0RD0/
0REQ,LSE,Stock,Per Aarsleff B,0REQ,Per Aarsleff Holding A/S,DK0060700516,,Heavy Construction Other Than Building Construction Contractors,,,,,no_update,https://stockanalysis.com/quote/lon/0REQ/
0RG6,LSE,Stock,Flughafen Zuerich AG,0RG6,Flughafen Zürich AG,CH0319416936,Industrials,Airlines,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0RG6/
0RGC,LSE,Stock,Moneta Money Bank AS,,,,,,,,,,no_symbol_match,
0RGY,LSE,Stock,Fingerprint Cards AB Series B,0RGY,Fingerprint Cards AB (publ),,,"Electronic Components, not elsewhere classified",,,,,no_update,https://stockanalysis.com/quote/lon/0RGY/
0RH0,LSE,Stock,Nibe Industrier AB Series B,0RH0,NIBE Industrier AB (publ),,,"Heating Equipment, Except Electric And Warm Air; And Plumbing Fixtures",,,,,no_update,https://stockanalysis.com/quote/lon/0RH0/
0RHM,LSE,Stock,TF Bank AB,0RHM,Avarda Bank AB (publ),SE0025666969,,Commercial Banks,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0RHM/
0RID,LSE,Stock,Inmobiliaria Colonial SOCIMI S.A.,0RID,"Colonial SFL, Socimi S. A.",,,Real Estate Operators (except Developers) And Lessors,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0RID/
0RIH,LSE,Stock,Alphabet Inc Class A,0RIH,Alphabet Inc.,US02079K3059,,"Computer Programming, Data Processing, And Other Computer Related Services",,,,,no_update,https://stockanalysis.com/quote/lon/0RIH/
0RIL,LSE,Stock,La Française de l'Energie S.A.,0RIL,La Française de l'Energie S.A.,,,Crude Petroleum and Natural Gas,,,,,no_update,https://stockanalysis.com/quote/lon/0RIL/
0RIT,LSE,Stock,B2 Impact ASA,0RIT,B2 Impact ASA,,,"Short-Term Business Credit Institutions, Except Agricultural",,,,,no_update,https://stockanalysis.com/quote/lon/0RIT/
0RKY,LSE,Stock,Exor NV,0RKY,Exor N.V.,NL0012059018,,Multi-Sector Holdings,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0RKY/
0RLO,LSE,Stock,AQ Group AB,0RLO,AQ Group AB (publ),,,"Electronic and Other Electrical Equipment and Components, except Computer Equipment",,,,,name_mismatch,https://stockanalysis.com/quote/lon/0RLO/
0ROI,LSE,Stock,Actic Group AB,,,,,,,,,,no_symbol_match,
0ROM,LSE,Stock,Gestamp Automocion,0ROM,"Gestamp Automoción, S.A.",,,Motor Vehicle Parts and Accessories,,,,,no_update,https://stockanalysis.com/quote/lon/0ROM/
0RPR,LSE,Stock,Ringkjoebing Landbobank A/S,0RPR,Ringkjøbing Landbobank A/S,DK0060854669,,Commercial Banks,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0RPR/
0RQC,LSE,Stock,Essity AB Series A,0RQC,Essity AB (publ),,,Paper Mills,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0RQC/
0RQD,LSE,Stock,Essity AB Series B,0RQD,Essity AB (publ),,,Paper Mills,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0RQD/
0RR7,LSE,Stock,Unicaja Banco S.A.,0RR7,"Unicaja Banco, S.A.",,,Commercial Banks,,,,,no_update,https://stockanalysis.com/quote/lon/0RR7/
0RSP,LSE,Stock,Ayvens,0RSP,Ayvens,,,"Automotive Rental And Leasing, Without Drivers",,,,,no_update,https://stockanalysis.com/quote/lon/0RSP/
0RTC,LSE,Stock,Delivery Hero AG,0RTC,Delivery Hero SE,,,Catalog and Mail-Order Houses,,,,,no_update,https://stockanalysis.com/quote/lon/0RTC/
0RU7,LSE,Stock,Fjord Defence Group ASA,0RU7,Fjord Defence Group ASA,NO0013647693,,"Oil and Gas Field Services, not elsewhere classified",,,,,no_update,https://stockanalysis.com/quote/lon/0RU7/
0RV2,LSE,Stock,BioArctic AB Series B,0RV2,BioArctic AB (publ),,,"Biological Products, Except Diagnostic Substances",,,,,name_mismatch,https://stockanalysis.com/quote/lon/0RV2/
0SKN,LSE,Stock,SKAN Group AG,0SKN,SKAN Group AG,,,Electromedical and Electrotherapeutic Apparatus,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0SKN/
0UB6,LSE,Stock,Lazard Ltd.,0UB6,"Lazard, Inc.",US52110M1099,,Investment Advice,,,,,no_update,https://stockanalysis.com/quote/lon/0UB6/
0UMG,LSE,Stock,Universal Music Group N.V.,0UMG,Universal Music Group N.V.,,,Motion Picture and Video Tape Production,,,,,no_update,https://stockanalysis.com/quote/lon/0UMG/
0VR6,LSE,ETF,ZKB Silver ETF,,,,,,,,,,no_symbol_match,
0W8Y,LSE,Stock,Mint S.A.,0W8Y,MINT Société anonyme,FR0004172450,,Electric Services,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0W8Y/
0WAG,LSE,Stock,Waga Energy SA,0WAG,Waga Energy SA,FR0012532810,,"Electric, Gas, and Sanitary Services",,,,,no_update,https://stockanalysis.com/quote/lon/0WAG/
0XPX,LSE,Stock,Fabege AB,0XPX,Fabege AB (publ),,,"Land Subdividers and Developers, Except Cemeteries",,,,,no_update,https://stockanalysis.com/quote/lon/0XPX/
0XS9,LSE,Stock,Holmen AB,0XS9,Holmen AB (publ),SE0011090018,,Paper Mills,,,,,no_update,https://stockanalysis.com/quote/lon/0XS9/
0XXT,LSE,Stock,Atlas Copco AB Series A,0XXT,Atlas Copco AB (publ),SE0017486889,,General Industrial Machinery And Equipment,,,,,no_update,https://stockanalysis.com/quote/lon/0XXT/
0Y5F,LSE,Stock,Endo International PLC,,,,,,,,,,no_symbol_match,
0YSU,LSE,Stock,Epiroc AB Series A,0YSU,Epiroc AB (publ),SE0015658109,Industrials,Agricultural - Machinery,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0YSU/
0YSV,LSE,Stock,Epiroc AB Series B,0YSV,Epiroc AB (publ),,,"Mining Machinery and Equipment, Except Oil and Gas Field Machinery and Equipment",,,,,name_mismatch,https://stockanalysis.com/quote/lon/0YSV/
159001,SZSE,ETF,货币ETF易方达,,,,,,,,,,no_symbol_match,
159003,SZSE,ETF,招商快线ETF,,,,,,,,,,no_symbol_match,
159930,SZSE,ETF,China Universal Asset Management - CSI Energy Fund,159930,China Universal CSI Energy Fund,,,,Equity,,,,no_update,https://stockanalysis.com/etf/SHE-159930/
159931,SZSE,ETF,金融地产ETF汇添富,159931,China Universal CSI Financials Fund,,,,Equity,,,,name_mismatch,https://stockanalysis.com/etf/SHE-159931/
159933,SZSE,ETF,金融地产ETF国投瑞银,159933,UBS SDIC CSI 300 Financial Property ETF Index Securities Investment Fund,,,,,,,,name_mismatch,https://stockanalysis.com/etf/SHE-159933/
159934,SZSE,ETF,黄金ETF易方达,,,,,,,,,,no_symbol_match,
159935,SZSE,ETF,中证500ETF景顺,159935,Invesco Great Wall CSI 500 ETF,,,,Equity,,,,name_mismatch,https://stockanalysis.com/etf/SHE-159935/
159936,SZSE,ETF,可选消费ETF广发,,,,,,,,,,no_symbol_match,
2BRK,LSE,ETF,Leverage Shares 2x Long Berkshire Hathaway (BRK-B) ETP Securities GBP,,,,,,,,,,no_symbol_match,
301047,SZSE,Stock,Sino BiologicalInc.,301047,"Sino Biological,Inc.",,Healthcare,Biotechnology,,,,,name_mismatch,https://stockanalysis.com/quote/she/301047/
301539,SZSE,Stock,Hongxin Tech Co Ltd,301539,"Zhejiang Hongxin Technology Co., Ltd.",CNE100006HP5,Consumer Discretionary,Auto Parts,,,,,name_mismatch,https://stockanalysis.com/quote/she/301539/
301589,SZSE,Stock,Novastar Co Ltd,301589,"Xi'an NovaStar Tech Co., Ltd.",,Technology,Electronic Components,,,,,name_mismatch,https://stockanalysis.com/quote/she/301589/
3ABN,LSE,ETF,Leverage Shares 3x Airbnb ETP Securities GBP,,,,,,,,,,no_symbol_match,
3GDX,LSE,ETF,Leverage Shares 3x Long Gold Miners ETC,,,,,,,,,,no_symbol_match,
3LDE,LSE,ETF,WisdomTree DAX 30 3x Daily Leveraged,3LDE,Boost Issuer Public Limited Company - Boost LevDAX 3x Daily ETP,XS3306518492,,,Equity,,,,name_mismatch,https://stockanalysis.com/etf/LON-3LDE/
3LEU,LSE,ETF,WisdomTree EURO STOXX 50® 3x Daily Leveraged,,,,,,,,,,no_symbol_match,
3LGO,LSE,ETF,WisdomTree Gold 3x Daily Leveraged,,,,,,,,,,no_symbol_match,
3LNI,LSE,ETF,GraniteShares 3x Long NIO Daily ETC,,,,,,,,,,no_symbol_match,
3LTS,LSE,ETF,GraniteShares 3x Long Tesla Daily ETP,,,,,,,,,,no_symbol_match,
3LUP,LSE,ETF,GraniteShares 3x Long Uber Daily ETP,,,,,,,,,,no_symbol_match,
3SGO,LSE,ETF,WisdomTree Gold 3x Daily Short,,,,,,,,,,no_symbol_match,
3SNI,LSE,ETF,GraniteShares 3x Short NIO Daily ETC,,,,,,,,,,no_symbol_match,
3SPP,LSE,ETF,GraniteShares 3x Short PayPal Daily ETP,,,,,,,,,,no_symbol_match,
3SSI,LSE,ETF,WisdomTree Silver 3x Daily Short,,,,,,,,,,no_symbol_match,
3STS,LSE,ETF,GraniteShares 3x Short Tesla Daily ETP,,,,,,,,,,no_symbol_match,
3SVP,LSE,ETF,GraniteShares 3x Short NVIDIA Daily ETP GBP,,,,,,,,,,no_symbol_match,
3SWP,LSE,ETF,GraniteShares 3x Short Apple Daily ETP,,,,,,,,,,no_symbol_match,
511600,SSE,ETF,华安日日鑫ETF,,,,,,,,,,no_symbol_match,
511650,SSE,ETF,货币ETF华夏,,,,,,,,,,no_symbol_match,
511690,SSE,ETF,交易货币ETF大成,511690,Dacheng Fund Management Company Limited - Dacheng ETF,,,,,,,,name_mismatch,https://stockanalysis.com/etf/SHA-511690/
511700,SSE,ETF,货币ETF平安,,,,,,,,,,no_symbol_match,
511770,SSE,ETF,金鹰增益货币ETF,,,,,,,,,,no_symbol_match,
511820,SSE,ETF,鹏华添利ETF,,,,,,,,,,no_symbol_match,
511830,SSE,ETF,货币ETF华泰柏瑞,,,,,,,,,,no_symbol_match,
511850,SSE,ETF,招商财富宝ETF,511850,CMF Caifubao Money Market ETF,,,,,,,,name_mismatch,https://stockanalysis.com/etf/SHA-511850/
511860,SSE,ETF,货币ETF博时,,,,,,,,,,no_symbol_match,
511880,SSE,ETF,银华日利ETF,,,,,,,,,,no_symbol_match,
511900,SSE,ETF,富国货币ETF,511900,Fullgoal Shou Yi Bao Exchange Traded Money Market Fund,,,,,,,,name_mismatch,https://stockanalysis.com/etf/SHA-511900/
511930,SSE,ETF,货币ETF国联,,,,,,,,,,no_symbol_match,
511950,SSE,ETF,添利货币ETF广发,,,,,,,,,,no_symbol_match,
511960,SSE,ETF,货币ETF嘉实,,,,,,,,,,no_symbol_match,
512070,SSE,ETF,证券保险ETF易方达,512070,E Fund CSI 300 Non-bank Financial Exchange-Traded Open-end Index Fund,,,,Equity,,,,name_mismatch,https://stockanalysis.com/etf/SHA-512070/
5QQQ,LSE,ETF,Leverage Shares 5x Long US Tech 100 ETP Securities GBP,,,,,,,,,,no_symbol_match,
601956,SSE,Stock,Hubei Donper Electromechanical Group Co. Ltd.,601956,"Hubei Donper Electromechanical Group Co., Ltd.",,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",,,,,no_update,https://stockanalysis.com/quote/sha/601956/
603091,SSE,Stock,ZX PACKING ORD A (SHH) EQSW Exp:,603091,"Zhejiang Zhongxin Environmental Protection Technology Group Co., Ltd.",,Materials,Paper & Paper Products,,,,,name_mismatch,https://stockanalysis.com/quote/sha/603091/
603150,SSE,Stock,Anhui Higasket Plastics Co.Ltd.,603150,"Higa Co.,Ltd.",,Technology,Electronic Components,,,,,name_mismatch,https://stockanalysis.com/quote/sha/603150/
603207,SSE,Stock,XIAO FANG ORD A (SHH) EQSW Exp:,603207,"Shanghai Xiao Fang Pharmaceutical Co.,Ltd.",,Healthcare,Drug Manufacturers - Specialty & Generic,,,,,name_mismatch,https://stockanalysis.com/quote/sha/603207/
603284,SSE,Stock,Anhui Linping Circular Dvlp Co,603284,"Anhui Linping Circular Development Co., Ltd.",,,"Converted Paper And Paperboard Products, Except Containers And Boxes",,,,,no_update,https://stockanalysis.com/quote/sha/603284/
605068,SSE,Stock,Mingxin Automotive Leather Co. Ltd.,605068,"Mingxin New Material Co.,Ltd.",CNE1000077F7,Consumer Discretionary,Auto Parts,,,,,name_mismatch,https://stockanalysis.com/quote/sha/605068/
688218,SSE,Stock,Jiangsu Beiren Robot System Co Ltd,688218,"Jiangsu Beiren Robot System Co., Ltd",CNE1000076T0,Industrials,Specialty Industrial Machinery,,CNE1000076T0,,,accept,https://stockanalysis.com/quote/sha/688218/
688221,SSE,Stock,Frontier Biopharmaceuticals (Nanjing) Co. Ltd. A,688221,Frontier Biotechnologies Inc.,CNE100005XF5,Healthcare,Drug Manufacturers - Specialty & Generic,,,,,name_mismatch,https://stockanalysis.com/quote/sha/688221/
688235,SSE,Stock,BeiGene Ltd.,688235,BeOne Medicines AG,CNE100005XT6,Healthcare,Biotechnology,,,,,name_mismatch,https://stockanalysis.com/quote/sha/688235/
688450,SSE,Stock,AGIOE ORD A (SHH) EQSW Exp:,688450,"Suzhou Agioe Technologies Co., Ltd.",,Industrials,Specialty Industrial Machinery,,,,,name_mismatch,https://stockanalysis.com/quote/sha/688450/
688573,SSE,Stock,XINYUREN ORD A (SHH) EQSW Exp:,688573,"Shenzhen Xinyuren Technology Co., Ltd.",,Industrials,Electrical Equipment & Parts,,,,,name_mismatch,https://stockanalysis.com/quote/sha/688573/
688592,SSE,Stock,COMNAV ORD A (SHH) EQSW Exp:,688592,ComNav Technology Ltd.,CNE1000078D0,Technology,Communication Equipment,,,,,name_mismatch,https://stockanalysis.com/quote/sha/688592/
688602,SSE,Stock,CHEMSPEC ORD A (SHH) EQSW Exp:,688602,Shanghai Chemspec Corporation,,Materials,Chemicals,,,,,name_mismatch,https://stockanalysis.com/quote/sha/688602/
688603,SSE,Stock,Guangdong Skychem Technology Co. Ltd. A,688603,"Shanghai Skychem Technology Co., Ltd.",,Materials,Specialty Chemicals,,,,,name_mismatch,https://stockanalysis.com/quote/sha/688603/
688610,SSE,Stock,I-TEK ORD A (SHH) EQSW Exp:,688610,"Hefei I-TEK OptoElectronics Co., Ltd.",,Technology,Electronic Components,,,,,name_mismatch,https://stockanalysis.com/quote/sha/688610/
688615,SSE,Stock,INTSIG ORD A (SHH) EQSW Exp:,688615,"Intsig Information Co., Ltd.",CNE1000078L3,Technology,Software - Infrastructure,,,,,name_mismatch,https://stockanalysis.com/quote/sha/688615/
688638,SSE,Stock,UTIMES ORD A (SHH) EQSW Exp:,688638,"Shenzhen UTIMES Intelligent Equipment Co., Ltd.",,Industrials,Specialty Industrial Machinery,,,,,name_mismatch,https://stockanalysis.com/quote/sha/688638/
688651,SSE,Stock,WEBRAY ORD A (SHH) EQSW Exp:,688651,"WebRAY Tech(Beijing) Co., Ltd.",CNE100007895,Technology,Software - Infrastructure,,,,,name_mismatch,https://stockanalysis.com/quote/sha/688651/
688671,SSE,Stock,BESCIENT ORD A (SHH) EQSW Exp:,688671,"Bescient Technologies Co., Ltd.",CNE1000078C2,Industrials,Pollution & Treatment Controls,,,,,name_mismatch,https://stockanalysis.com/quote/sha/688671/
688693,SSE,Stock,CONVERT ORD A (SHH) EQSW Exp:,688693,"Suzhou Convert Semiconductor CO., LTD.",,Technology,Electronic Components,,,,,name_mismatch,https://stockanalysis.com/quote/sha/688693/
688710,SSE,Stock,INNOSTAR ORD A (SHH) EQSW Exp:,688710,"Shanghai InnoStar Bio-tech Co., Ltd.",,Healthcare,Drug Manufacturers - General,,,,,name_mismatch,https://stockanalysis.com/quote/sha/688710/
689009,SSE,Stock,Ninebot Ltd,689009,Ninebot Limited,CNE100007788,Consumer Discretionary,Leisure,,CNE100007788,,,accept,https://stockanalysis.com/quote/sha/689009/
AADLS,OTC,Stock,ARRIVED HOMES 5 LLC,,,,,,,,,,no_symbol_match,
AAGAF,OTC,Stock,Silver47 Exploration Corp.,AAGAF,Silver47 Exploration Corp.,,,Silver Ores,,,,,no_update,https://stockanalysis.com/quote/otc/AAGAF/
AAHIF,OTC,Stock,Asahi Co. Ltd,,,,,,,,,,no_symbol_match,
AAYYY,OTC,Stock,Australian Agricultural Company Limited,,,,,,,,,,no_symbol_match,
AB-H,TSXV,Stock,Asbestos Corporation Limited,,,,,,,,,,no_symbol_match,
AC2,ASX,ETF,ALLIED CREDIT ABS TRUST 2025-1P,,,,,,,,,,no_symbol_match,
AC3,ASX,ETF,ALLIED CREDIT ABS TRUST 2025-2,,,,,,,,,,no_symbol_match,
ACJJF,OTC,Stock,Acom Co. Ltd,,,,,,,,,,no_symbol_match,
ACKAF,OTC,Stock,Arçelik Anonim Sirketi,,,,,,,,,,no_symbol_match,
ACLIF,OTC,Stock,ACCELLERON INDS LTD.,ACLIF,Accelleron Industries AG,CH1169360919,Industrials,Specialty Industrial Machinery,,,,,name_mismatch,https://stockanalysis.com/quote/otc/ACLIF/
ACRXF,OTC,Stock,Acerinox S.A.,ACRXF,"Acerinox, S.A.",,Materials,Steel,,,,,no_update,https://stockanalysis.com/quote/otc/ACRXF/
ACWEF,OTC,ETF,SSgA SPDR ETFs Europe I Public Limited Company - SPDR MSCI ACWI UCITS ETF,ACWEF,SSgA State Street SPDR MSCI All Country World UCITS ETF,,,,,,,,name_mismatch,https://stockanalysis.com/etf/OTC-ACWEF/
ACYRS,OTC,Stock,ARRIVED HOMES 5 LLC,,,,,,,,,,no_symbol_match,
ADCNF,OTC,Stock,ADICON HLDGS LTD.,,,,,,,,,,no_symbol_match,
ADLRF,OTC,Stock,Adrian Resources Ltd,,,,,,,,,,no_symbol_match,
ADPXF,OTC,Stock,Audio Pixels Holdings Limited,,,,,,,,,,no_symbol_match,
ADRGF,OTC,Stock,Mene Inc,,,,,,,,,,no_symbol_match,
ADWYF,OTC,Stock,"Adways Co., Ltd.",,,,,,,,,,no_symbol_match,
AEMLF,OTC,Stock,AURORA ENERGY METALS LTD.,AEMLF,Aurora Energy Metals Limited,,Energy,Uranium,,,,,no_update,https://stockanalysis.com/quote/otc/AEMLF/
AEMMF,OTC,Stock,A2A S.p.A,,,,,,,,,,no_symbol_match,
AEOJF,OTC,Stock,AEON Financial Service Co. Ltd,,,,,,,,,,no_symbol_match,
AEORF,OTC,Stock,AEON REIT INVT CORP.,,,,,,,,,,no_symbol_match,
AEPLF,OTC,Stock,Anglo-Eastern Plantations Plc,,,,,,,,,,no_symbol_match,
AF2,ASX,ETF,ANGLE ASSET FINANCE - RADIAN TRUST 2025-1,,,,,,,,,,no_symbol_match,
AF4,ASX,ETF,AFG 2024-1 TRUST IN RESPECT OF SERIES 2024-1,,,,,,,,,,no_symbol_match,
AF5,ASX,ETF,AFG 2025-1NC TRUST IN RESPECT OF SERIES 2025-1NC,,,,,,,,,,no_symbol_match,
AF6,ASX,ETF,AFG 2025-1 TRUST IN RESPECT OF SERIES 2025-1,,,,,,,,,,no_symbol_match,
